InternetService_None,MonthlyCharge,Income,Contract_Month-to-month,Bandwidth_GB_Year,Contract_Two Year,InternetService_DSL,Contract_One year,InternetService_Fiber Optic
0.43998464679767657,0.10912047373985037,0.10695110858032117,0.0,1.0,0.0,0.0,1.0,0.0
0.7738723357742342,0.08259884867274105,0.09216511350895276,1.0,0.0,0.0,0.0,1.0,0.0
0.38047449728926985,0.03581832252487053,0.27117970669046576,0.0,0.0,1.0,1.0,0.0,0.0
0.19020688679923636,0.07184843994456358,0.2868679834244005,0.0,0.0,1.0,1.0,0.0,0.0
0.3329000714092144,0.1536461345903956,0.016561310558048714,1.0,0.0,0.0,0.0,1.0,0.0
0.4997052667213302,0.08629415905185507,0.12620182002821403,0.0,1.0,0.0,0.0,0.0,1.0
0.5715994141997968,0.0430042262673397,0.2501238747083258,1.0,0.0,0.0,1.0,0.0,0.0
0.16638969263711678,0.10214953640085518,0.11767101542385794,1.0,0.0,0.0,1.0,0.0,0.0
0.17836831726992763,0.2254317631928862,0.16525628773421222,1.0,0.0,0.0,1.0,0.0,0.0
0.39253602643607766,0.19293110945599617,0.05044025798926385,0.0,0.0,1.0,0.0,1.0,0.0
0.4518914906326298,0.08598667742040163,0.36742634507874855,1.0,0.0,0.0,1.0,0.0,0.0
0.33296561950042447,0.0695931492009558,0.14636763895762311,1.0,0.0,0.0,0.0,1.0,0.0
0.2733840888486321,0.3222655416784003,0.1486235519746458,1.0,0.0,0.0,0.0,1.0,0.0
0.4995331488620275,0.44387932285814974,0.2560425830772109,0.0,0.0,1.0,0.0,1.0,0.0
0.3805601280177011,0.24717709623088244,0.20372580152688888,1.0,0.0,0.0,1.0,0.0,0.0
0.4647025194060912,0.3431138405681828,0.24052456768232058,0.0,1.0,0.0,0.0,0.0,1.0
0.5470861789544534,0.1210999194243418,0.27341713431225023,1.0,0.0,0.0,1.0,0.0,0.0
0.5838000326184659,0.1693823096264222,0.10374733938116551,0.0,0.0,1.0,0.0,0.0,1.0
0.3449963895262572,0.15050537410207146,0.23953680558100107,0.0,0.0,1.0,0.0,0.0,1.0
0.33288271498642763,0.07405116873381347,0.2568116744414448,1.0,0.0,0.0,1.0,0.0,0.0
0.49956617744946885,0.15190574987943434,0.3105333745871254,1.0,0.0,0.0,0.0,1.0,0.0
0.2260755235905354,0.17546100875711557,0.06262587139573725,0.0,0.0,1.0,0.0,1.0,0.0
0.21403135086651448,0.10478881175289942,0.07961142271689281,1.0,0.0,0.0,0.0,1.0,0.0
0.3329000714092144,0.30690515174063804,0.11278309679727797,0.0,1.0,0.0,0.0,1.0,0.0
0.3926751157079391,0.10895930695264702,0.10212891230045412,1.0,0.0,0.0,0.0,0.0,1.0
0.059359541623725476,0.047225156190032626,0.08835428247089785,1.0,0.0,0.0,1.0,0.0,0.0
0.6787994136060244,0.032541071133728866,0.19289564792436836,1.0,0.0,0.0,0.0,1.0,0.0
0.2854804069656749,0.16837636122988478,0.03763048528824814,1.0,0.0,0.0,0.0,0.0,1.0
0.5716649622910068,0.039194625545968455,0.1576230096243268,0.0,1.0,0.0,1.0,0.0,0.0
0.8453281907572111,0.12799791206435318,0.22697579175268368,0.0,0.0,1.0,1.0,0.0,0.0
0.7142694093348124,0.16644568599983534,0.23416361984206938,0.0,0.0,1.0,0.0,1.0,0.0
0.32120059115176713,0.08294349883851232,0.048114748934151345,0.0,0.0,1.0,0.0,0.0,1.0
0.7142694093348124,0.19961877692470645,0.12258007258579454,1.0,0.0,0.0,0.0,1.0,0.0
0.4518914906326298,0.0989875422753401,0.3605717911227879,1.0,0.0,0.0,1.0,0.0,0.0
0.8929698489866088,0.0420144448295378,0.1322640077450678,0.0,1.0,0.0,0.0,1.0,0.0
0.3925387526505122,0.030688678019662047,0.15056161134633675,1.0,0.0,0.0,1.0,0.0,0.0
0.7137366128300534,0.03777243597739302,0.10595957280940232,1.0,0.0,0.0,0.0,1.0,0.0
0.28557414972833095,0.13877493052365517,0.16926218377015,0.0,1.0,0.0,1.0,0.0,0.0
0.4995006293582589,0.09688096434593842,0.1368587721797395,0.0,0.0,1.0,0.0,1.0,0.0
0.32112704997111585,0.1933376040404711,0.19627413697792317,0.0,0.0,1.0,0.0,1.0,0.0
0.43999577051381566,0.14644131782682196,0.16486540391264715,1.0,0.0,0.0,0.0,1.0,0.0
0.13085414881711865,0.20320316185488857,0.10528913114667096,1.0,0.0,0.0,1.0,0.0,0.0
0.8333883183348164,0.04507665246333591,0.1385134172389106,0.0,0.0,1.0,0.0,1.0,0.0
0.5351463065320589,0.09182658515580018,0.2657542670333497,0.0,0.0,1.0,0.0,1.0,0.0
0.7738723357742342,0.05720032443759967,0.17951518744257766,0.0,0.0,1.0,0.0,1.0,0.0
0.785968653891277,0.2092797724311041,0.22205876329057495,1.0,0.0,0.0,0.0,0.0,1.0
